Time,total_lmp_da
2022-09-13 22:00:00+00:00,68.34151
2022-09-13 23:00:00+00:00,74.4512
2022-09-14 00:00:00+00:00,75.41147
2022-09-14 01:00:00+00:00,93.69138
2022-09-14 02:00:00+00:00,112.41665
2022-09-14 03:00:00+00:00,114.81583
2022-09-14 04:00:00+00:00,105.96437
2022-09-14 05:00:00+00:00,98.16483
2022-09-14 06:00:00+00:00,92.34339
2022-09-14 07:00:00+00:00,78.81551
2022-09-14 08:00:00+00:00,82.07935
2022-09-14 09:00:00+00:00,76.71825
2022-09-14 10:00:00+00:00,73.7254
2022-09-14 11:00:00+00:00,72.34108
2022-09-14 12:00:00+00:00,73.37247
2022-09-14 13:00:00+00:00,84.8642
2022-09-14 14:00:00+00:00,95.55251
2022-09-14 15:00:00+00:00,84.61236
2022-09-14 16:00:00+00:00,70.28686
2022-09-14 17:00:00+00:00,64.16158
2022-09-14 18:00:00+00:00,58.88
2022-09-14 19:00:00+00:00,63.46809
2022-09-14 20:00:00+00:00,65.83128
2022-09-14 21:00:00+00:00,68.57098
2022-09-14 22:00:00+00:00,69.43107
2022-09-14 23:00:00+00:00,73.21601
2022-09-15 00:00:00+00:00,75.13562
2022-09-15 01:00:00+00:00,89.65206
2022-09-15 02:00:00+00:00,106.7093
2022-09-15 03:00:00+00:00,110.74519
2022-09-15 04:00:00+00:00,102.57606
2022-09-15 05:00:00+00:00,96.44384
2022-09-15 06:00:00+00:00,86.35912
2022-09-15 07:00:00+00:00,82.02026
2022-09-15 08:00:00+00:00,83.2808
2022-09-15 09:00:00+00:00,78.31518
2022-09-15 10:00:00+00:00,72.21
2022-09-15 11:00:00+00:00,72.14004
2022-09-15 12:00:00+00:00,74.52129
2022-09-15 13:00:00+00:00,81.73328
2022-09-15 14:00:00+00:00,93.48707
2022-09-15 15:00:00+00:00,82.43485
2022-09-15 16:00:00+00:00,69.92539
2022-09-15 17:00:00+00:00,63.35
2022-09-15 18:00:00+00:00,60.81855
2022-09-15 19:00:00+00:00,62.31336
2022-09-15 20:00:00+00:00,64.99616
2022-09-15 21:00:00+00:00,68.61462
2022-09-15 22:00:00+00:00,69.28009
2022-09-15 23:00:00+00:00,72.22569
