Scenario,Class,SubClass,Resource,Model,Fips Code,County,State,Sqmi,Land Source,Price Offered,Production,Production Unit,Production Energy Content,Energy Content Unit,Production Density per Sq Mile,BTU/Ton,USDA Region
mature-market medium,agriculture land,Agricultural residues,Oats straw,POLYSYS,36101,Steuben County,New York,1404.04,Crop,70,0,dt,0,BTU,0,14892000,Northeast
mature-market medium,agriculture land,"Energy crops, herbaceous",Switchgrass,POLYSYS,28109,Pearl River County,Mississippi,819.34,Pasture,70,85954,dt,1.41171E+12,BTU,104.91,16424000,Southeast
mature-market medium,agriculture land,"Energy crops, herbaceous",Miscanthus,POLYSYS,27061,Itasca County,Minnesota,2927.94,Pasture,70,21536,dt,3.5879E+11,BTU,7.36,16660000,Lake States
mature-market medium,agriculture land,"Energy crops, woody",Willow,POLYSYS,37043,Clay County,North Carolina,220.78,Pasture,70,7922,dt,1.37019E+11,BTU,35.88,17296000,Appalachia
mature-market medium,agriculture land,"Energy crops, herbaceous",Miscanthus,POLYSYS,39083,Knox County,Ohio,529.64,Pasture,70,52195,dt,8.69569E+11,BTU,98.55,16660000,Corn Belt
mature-market medium,agriculture land,"Energy crops, woody",Willow,POLYSYS,17173,Shelby County,Illinois,768.07,Pasture,70,5145,dt,88987920000,BTU,6.7,17296000,Corn Belt
mature-market medium,agriculture land,"Energy crops, herbaceous",Switchgrass,POLYSYS,48259,Kendall County,Texas,663.03,Crop,70,1511,dt,24816664000,BTU,2.28,16424000,Southern Plains
mature-market medium,agriculture land,Agricultural residues,Corn stover,POLYSYS,29039,Cedar County,Missouri,498.65,Crop,70,0,dt,0,BTU,0,15722000,Corn Belt
mature-market medium,agriculture land,"Energy crops, herbaceous",Miscanthus,POLYSYS,18093,Lawrence County,Indiana,451.93,Pasture,70,10575,dt,1.7618E+11,BTU,23.4,16660000,Corn Belt
mature-market medium,agriculture land,Agricultural residues,Sorghum stubble,POLYSYS,04013,Maricopa County,Arizona,9225.99,Crop,70,0,dt,0,BTU,0,14830000,Mountain States
mature-market medium,agriculture land,"Energy crops, woody",Willow,POLYSYS,18171,Warren County,Indiana,366.41,Pasture,70,2652,dt,45868992000,BTU,7.24,17296000,Corn Belt
mature-market medium,agriculture land,"Energy crops, herbaceous",Switchgrass,POLYSYS,13185,Lowndes County,Georgia,510.58,Pasture,70,8946,dt,1.46929E+11,BTU,17.52,16424000,Southeast
mature-market medium,agriculture land,Agricultural residues,Wheat straw,POLYSYS,22083,Richland Parish,Louisiana,564.41,Crop,70,2231,dt,33224052000,BTU,3.95,14892000,Delta States
mature-market medium,agriculture land,Agricultural residues,Oats straw,POLYSYS,55095,Polk County,Wisconsin,956.41,Crop,70,0,dt,0,BTU,0,14892000,Lake States
mature-market medium,agriculture land,Agricultural residues,Sorghum stubble,POLYSYS,46007,Bennett County,South Dakota,1190.45,Crop,70,0,dt,0,BTU,0,14830000,Northern Plains
mature-market medium,agriculture land,Intermediate oilseeds,Pennycress,POLYSYS,17109,McDonough County,Illinois,590.1,Crop,400,41717.46,dt,9.71529E+11,BTU,70.7,23288300,Corn Belt
mature-market medium,agriculture land,"Energy crops, herbaceous",Switchgrass,POLYSYS,37111,McDowell County,North Carolina,445.35,Pasture,70,11533,dt,1.89418E+11,BTU,25.9,16424000,Appalachia
