,onwind,solar,load
478,0.013883151,0,1824.65
479,0.006234016,0,1630.51
480,0.005238072,0,1457.48
481,0.016962981,0,1240.98
482,0.053846462,0,1165.18
483,0.100529837,0,1186.06
484,0.050562291,0,1164.85
485,0.05099818,0,1162.83
486,0.085537234,0,1255.03
487,0.078939387,0,1274.14
488,0.111882135,0.056635583,1356.91
489,0.154399512,0.456991518,1460.51
490,0.335636301,0.714847434,1545
491,0.632245964,0.68209342,1514.08
492,0.734470391,0.538362874,1514.15
493,0.792587599,0.408144579,1523.25
494,0.805430491,0.350018313,1546.46
495,0.805360039,0.353203373,1484.25
496,0.804912849,0.384226281,1508.63
497,0.802534153,0.121993349,1541.51
498,0.804841745,0,1734.26
499,0.805415447,0,1843.38
500,0.805847143,0,1847.27
501,0.805696897,0,1797.25
502,0.805614947,0,1666.83
503,0.805321084,0,1491.56
504,0.800631275,0,1317.98
505,0.799324127,0,1352.13
506,0.792881039,0,1324.58
507,0.757266679,0,1287.36
508,0.739048404,0,1301.66
509,0.700585211,0,1350.11
510,0.647720276,0,1460.58
511,0.55733994,0,1736.39
512,0.471886539,0.082277488,2021.52
513,0.3682421,0.480991877,2172.47
514,0.245769475,0.620456459,2292.09
515,0.195965208,0.571534074,2328.06
516,0.171603263,0.524018526,2356.16
517,0.143273694,0.510530244,2317.33
518,0.128790744,0.547686164,2258.96
519,0.099099439,0.51504848,2141.43
520,0.081613789,0.39804431,2042.79
521,0.11906004,0.092287786,2025.47
522,0.173272908,0,2188.06
523,0.15438794,0,2228.97
524,0.113312181,0,2197.07
525,0.245087684,0,2066.95
526,0.19475686,0,1875.37
527,0.167958839,0,1696.31
528,0.199588103,0,1512.76
529,0.249290364,0,1389.18
530,0.247059522,0,1319.54
531,0.25082773,0,1302.46
532,0.257526529,0,1300.7
533,0.331955405,0,1354.49
534,0.429571105,0,1479.05
535,0.492002055,0,1733.89
536,0.607555392,0.077716528,2019.5
537,0.588146016,0.521202547,2195.99
538,0.573871151,0.759313274,2325.53
539,0.569803521,0.708633122,2375.49
540,0.64734947,0.642575602,2381.78
541,0.724083326,0.633871301,2383.03
542,0.743842906,0.697221025,2292.08
543,0.767018434,0.775939981,2187.67
544,0.766608441,0.678521647,2101.76
545,0.773251944,0.182958626,2056.38
546,0.802739178,0,2203.53
547,0.803940004,0,2257.44
548,0.802309628,0,2206.43
549,0.778457898,0,2067.56
550,0.776342608,0,1886.31
551,0.779080225,0,1687.99
552,0.77906113,0,1517.5
553,0.760139895,0,1396.06
554,0.749742707,0,1312.71
555,0.724678494,0,1290.41
556,0.69316983,0,1299.97
557,0.64847343,0,1349.62
558,0.608208516,0,1476.02
559,0.560545518,0,1727.96
560,0.557499272,0.051228974,2010.95
561,0.464471572,0.465356754,2173.37
562,0.297498412,0.772997455,2282.68
563,0.238518454,0.725419474,2320.4
564,0.223106424,0.648452797,2345.96
565,0.195436008,0.634158299,2342.41
566,0.133235929,0.686305577,2247.7
567,0.106846288,0.744691979,2112.91
568,0.086085365,0.636695927,2031.59
569,0.07322728,0.169722431,2007.34
570,0.06133159,0,2157.17
571,0.040156076,0,2211.91
572,0.016297623,0,2213.18
573,0.006346781,0,2074.02
574,0.006560788,0,1873.42
575,0.002319541,0,1708.51
576,0.000622562,0,1536.36
577,0.000323912,0,1414.92
578,0.002467853,0,1326.02
579,0.003606418,0,1303.41
580,0.006028895,0,1302.34
581,0.007923142,0,1361.09
582,0.011420624,0,1477.45
583,0.011655061,0,1749.79
584,0.012022665,0.003252184,2029.96
585,0.017731617,0.02762258,2172.44
586,0.036934159,0.069373513,2290.72
587,0.054406776,0.11717072,2317.41
588,0.038712787,0.169790396,2354.36
589,0.031571501,0.355235111,2335.2
590,0.032014311,0.443527355,2248.6
591,0.0273272,0.482120252,2131.62
592,0.023163259,0.11690868,2060.29
593,0.04542261,0.01217364,2016.73
594,0.0411388,0,2153.39
595,0.03884662,0,2247.59
596,0.023677288,0,2189.33
597,0.015232604,0,2034.94
598,0.017461988,0,1889.4
599,0.028304148,0,1711.58
600,0.034140255,0,1519.18
601,0.080148299,0,1391.9
602,0.093998889,0,1311.19
603,0.175307775,0,1297.5
604,0.247466935,0,1297.61
605,0.372519491,0,1356.55
606,0.455085403,0,1478.89
607,0.531986577,0,1742.44
608,0.557723504,0.001684992,2042.7
609,0.566915758,0.013341741,2152.41
610,0.589535215,0.057996079,2296.31
611,0.555823328,0.12659835,2344.58
612,0.547899792,0.226456577,2365.66
613,0.649628754,0.153715901,2349.64
614,0.744351232,0.214639646,2253.73
615,0.789885411,0.166728976,2151.35
616,0.794888631,0.085676702,2075.34
617,0.798926211,0.062830114,2056.7
618,0.805549164,0,2176.34
619,0.803697218,0,2221.54
620,0.805886262,0,2171.12
621,0.805881152,0,2022.34
622,0.805886671,0,1864.57
623,0.805886671,0,1712.88
624,0.805886671,0,1497.12
625,0.805886671,0,1330.43
626,0.805712613,0,1259.11
627,0.805849641,0,1235.14
628,0.805826453,0,1238.1
629,0.805493352,0,1247.77
630,0.804738282,0,1285.43
631,0.803999444,0,1409.08
632,0.804043274,0.005333044,1482.23
633,0.788818911,0.044268882,1582.51
634,0.760721852,0.342054243,1628.74
635,0.735551237,0.313634128,1631.96
636,0.72063507,0.254221219,1650.67
637,0.691405172,0.349519946,1683.53
638,0.697656768,0.346434509,1699.01
639,0.677342008,0.337017949,1663.29
640,0.655518529,0.26362025,1681.12
641,0.670661737,0.124308068,1722.62
642,0.674407996,0,1894.5
643,0.63438743,0,2072.83
644,0.516742371,0,2057.9
645,0.423034397,0,2015.67
646,0.384022261,0,1897.38
647,0.321260648,0,1673.23
648,0.254573982,0,1455.09
649,0.176178698,0,1244.11
650,0.0978828,0,1166.48
651,0.050826909,0,1173.6
652,0.017425229,0,1153.21
653,0.007162433,0,1152.19
654,0.006457525,0,1245.35
655,0.003425155,0,1282.93
656,0.001974833,0.03018907,1336.27
657,0.000470303,0.247817718,1481.72
658,0,0.346920563,1556.18
659,4.13E-05,0.405373153,1538.23
660,3.52E-05,0.415800353,1499.27
661,0.001254518,0.306192989,1481.06
662,0.00244891,0.260256252,1450.07
663,0.006911805,0.297479777,1448.82
664,0.010780275,0.188999233,1488.39
665,0.012433017,0.04339436,1539.08
666,0.007977318,0,1724.24
667,0.003316148,0,1828.88
668,0.00629812,0,1836.42
669,0.015670632,0,1787.72
670,0.025168787,0,1695.1
671,0.040292613,0,1524.93
672,0.055319148,0,1322.32
673,0.064853951,0,1346.84
674,0.066200523,0,1326.81
675,0.071341863,0,1294.51
676,0.064326728,0,1297.84
677,0.069015568,0,1355.44
678,0.129874755,0,1473.7
679,0.244837963,0,1739.51
680,0.365271577,0.071906627,2009.81
681,0.429161265,0.387816127,2180.2
682,0.326326307,0.536622751,2270.57
683,0.188438915,0.480083791,2289.41
684,0.146935196,0.454702251,2308.21
685,0.140846946,0.446133689,2314.48
686,0.141364973,0.394728303,2232.47
687,0.179183185,0.263031107,2121.77
688,0.208405474,0.193768028,2034.36
689,0.312907037,0.049125039,2054.14
690,0.425968719,0,2171.86
691,0.445497202,0,2237.71
692,0.458468113,0,2191.38
693,0.488571843,0,2046.62
694,0.465879069,0,1885.6
695,0.438123097,0,1688.55
696,0.396889834,0,1515.62
697,0.319335958,0,1397.19
698,0.243584452,0,1321.16
699,0.197556136,0,1298.7
700,0.164970399,0,1300
701,0.141936933,0,1352.83
702,0.102324461,0,1474.51
703,0.059674333,0,1744.98
704,0.037778049,0.084909526,2014.78
705,0.058245778,0.488324545,2163.85
706,0.079283595,0.490547554,2278.52
707,0.05003776,0.645056346,2318.8
708,0.046629046,0.497430484,2321.66
709,0.065267047,0.578488242,2311.92
710,0.109218357,0.498592404,2244.32
711,0.187036144,0.627147238,2109
712,0.359295323,0.35813256,2022.54
713,0.540266001,0.145107376,2014.74
714,0.710279276,0.000868177,2157.79
715,0.757746356,0,2214.76
716,0.727155657,0,2167.79
717,0.745972876,0,2037.71
718,0.657105572,0,1865.53
719,0.627973571,0,1706.41
720,0.610277946,0,1527.87
721,0.624451839,0,1408.81
722,0.616900909,0,1340.54
723,0.570987594,0,1310.67
724,0.589096376,0,1306.1
725,0.563846946,0,1362.11
726,0.576109501,0,1479.65
727,0.597251883,0,1736.75
728,0.521230192,0.122648104,2001.26
729,0.400991959,0.380537222,2161.07
730,0.285477802,0.728182454,2274.46
731,0.251160231,0.74437032,2329.59
732,0.182224597,0.675527413,2331.88
733,0.119723196,0.662304897,2325.31
734,0.07106449,0.706825804,2253.99
735,0.06419523,0.731754176,2117.61
736,0.043167392,0.693028339,2022.79
737,0.012491868,0.229778402,1996.69
738,0.002641879,0.002718253,2158.38
739,0.005734216,0,2246.93
740,0.014029078,0,2196.53
741,0.046293874,0,2058.65
742,0.088960027,0,1901.76
743,0.151606304,0,1709.98
744,0.187244814,0,1540.44
745,0.229402136,0,1414.41
746,0.258227481,0,1324.46
747,0.311832199,0,1299.04
748,0.371634704,0,1303.74
749,0.384412512,0,1360.17
750,0.431762266,0,1482.52
751,0.517187057,0,1738.81
752,0.600141618,0.012503533,2008.6
753,0.649300304,0.029586593,2195.67
754,0.633262131,0.059827836,2310.66
755,0.562958432,0.085194897,2339.99
756,0.583133976,0.091199187,2344.39
757,0.599665105,0.119837294,2310.57
758,0.661992149,0.179623526,2229.45
759,0.650010321,0.116282154,2111.91
760,0.664864856,0.380531844,2026.89
761,0.667804053,0.152524197,2001.68
762,0.693862142,0.001569224,2101.08
763,0.668907726,0,2165.85
764,0.65576625,0,2155.37
765,0.61143431,0,2063.86
766,0.606573828,0,1916.47
767,0.59816715,0,1707.32
768,0.589301896,0,1533.38
769,0.622107663,0,1415.7
770,0.588586299,0,1318.22
771,0.614131918,0,1301.24
772,0.548613424,0,1301.69
773,0.567535671,0,1356.27
774,0.669390435,0,1463.91
775,0.697548134,0,1722.16
776,0.764104772,0.037098891,2000.26
777,0.786584946,0.382512269,2190.17
778,0.763406331,0.484308275,2282.38
779,0.627350423,0.329818124,2323.67
780,0.562745777,0.261224141,2351.26
781,0.447037274,0.236856312,2317.73
782,0.377844866,0.473130592,2227.17
783,0.41971482,0.664631077,2093.74
784,0.314465224,0.583597081,2007.53
785,0.297419497,0.201006991,1988.74
786,0.253344499,0.0033475,2111.14
787,0.152195649,0,2184.29
788,0.14961858,0,2173.18
789,0.332878142,0,2104.61
790,0.535264203,0,1987.52
791,0.593129671,0,1741.87
792,0.764202875,0,1553.75
793,0.722809797,0,1399.94
794,0.78653571,0,1310.27
795,0.79996407,0,1263.92
796,0.795252653,0,1256.44
797,0.796546191,0,1259.07
798,0.790102384,0,1274.96
799,0.795723914,0,1391.34
800,0.79077807,0.118050935,1474.89
801,0.775504588,0.5798353,1594.57
802,0.752660664,0.775242484,1619.24
803,0.710649331,0.741287312,1628.13
804,0.693183078,0.67720693,1641.07
805,0.666438256,0.668252454,1656.48
806,0.645993782,0.722480065,1630.6
